unit:id:admin	unit:name	unit:classification	unit:relation_type	unit:related_unit_id:admin	unit:related_unit	unit:related_unit_class	unit:related_unit_first_cited_date	unit:related_unit_first_cited_date_start	unit:related_unit_last_cited_date	unit:related_unit_open
d5191bca-a0dc-48a5-863d-043f46b0432d	Brigade Territoriale (Mafuné)	Gendarmerie;Military	child	9ed9d9ee-3748-4e32-a405-d4cefbff5b5f	Compagnie Territoriale (San)	Command	2017-10-09	N		Y
6008eaf1-1234-4035-a10a-1cd31f8ef0c2	Brigade Territoriale (Manantaly)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2014-12-17	N	2019-01-19	Y
d0fe1659-fa22-45a3-920d-373e7195a820	Brigade Territoriale (Mandiakuy)	Gendarmerie;Military	child	9ed9d9ee-3748-4e32-a405-d4cefbff5b5f	Compagnie Territoriale (San)	Command	2017-10-09	N		Y
1831e426-fe72-4a36-842a-105e772e6b15	Brigade Territoriale (Markala)	Gendarmerie;Military	child	d0a76aa7-1c8b-43ad-8d3e-cab1784e3364	Compagnie Territoriale (Niono)	Command	2017-10-09	N		Y
6e7aa479-9141-4c21-9ad6-58fa69dde022	Brigade Territoriale (Massigui)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2020-07-25	Y
bc4e9801-cce8-432d-90bd-05360bca6a57	Brigade Territoriale (Ménaka)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2019-12-01	Y
02d536d0-a841-46f2-bbef-efd7745b44e7	Brigade Territoriale (Mondoro-Habe)	Gendarmerie;Military	child	057dc644-3923-48e1-b8aa-afe7d98b2a68	Compagnie Territoriale (Douentza)	Command	2017-10-09	N		Y
3916704a-f81a-4ccc-b85c-fe9350428cfb	Brigade Territoriale (Monimpébougou)	Gendarmerie;Military	child	31b0f888-cece-40ac-85c8-96974ba28c64	Compagnie Territoriale (Ségou)	Command	2017-10-09	N		Y
b831bc18-3004-4003-9f44-2f3867929e32	Brigade Territoriale (Mopti)	Gendarmerie;Military	child	0542e865-157a-44e5-ac15-fd168c062d13	Compagnie Territoriale (Mopti)	Command	2017-10-09	N		Y
1a140f12-43c9-4bd4-8e38-ea6123b4a8e4	Brigade Territoriale (Mougna)	Gendarmerie;Military	child	0542e865-157a-44e5-ac15-fd168c062d13	Compagnie Territoriale (Mopti)	Command	2017-10-09	N		Y
8c1b1e02-5c7f-4173-80b8-7474336d344a	Brigade Territoriale (N'Gabakoro-Droit)	Gendarmerie;Military	child	fa0acf48-67e8-49a2-9a21-23c982dd7c31	Compagnie Territoriale (Bamako Rive Gauche)	Command	2017-10-09	N	2018-07-04	Y
732502a5-4d8e-4874-ac14-19b0f5d583ec	Brigade Territoriale (N'Golobougou)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2018-05-22	Y	2019-01-19	Y
df78f2cd-0e78-4621-bc24-4d5329fe0a97	Brigade Territoriale (N'Golognebougou)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2017-07-24	N	2019-01-19	Y
0e246b72-0c0e-4d46-b066-3d35ba11d614	Brigade Territoriale (N'Gouma)	Gendarmerie;Military	child	5553eda1-d1c6-465b-af46-7f6f4738f5dd	Compagnie Territoriale (Bandiagara)	Command	2017-10-09	N		Y
be8579f9-6c9e-410b-ba98-fb7a4029e01b	Brigade Territoriale (Nampala)	Gendarmerie;Military	child	d0a76aa7-1c8b-43ad-8d3e-cab1784e3364	Compagnie Territoriale (Niono)	Command	2017-10-09	N		Y
4ae2add1-c8c6-4992-b51f-d43b45582834	Brigade Territoriale (Nara)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-02	N	2019-01-19	Y
5fcb616b-9973-416c-9517-2ffc5e7e0d16	Brigade Territoriale (Naréna)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	1963-04-	N	2019-01-19	Y
99cdfb93-0746-4232-88f4-5022a912aae0	Brigade Territoriale (Niafunké)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-07-08	N	2020-01-06	Y
f5c49f7a-fe25-43dc-b486-15d46723d6fb	Brigade Territoriale (Ninngari)	Gendarmerie;Military	child	5553eda1-d1c6-465b-af46-7f6f4738f5dd	Compagnie Territoriale (Bandiagara)	Command	2017-10-09	N		Y
09cfe07a-fbcc-4105-8341-4139ec24e2a6	Brigade Territoriale (Niono)	Gendarmerie;Military	child	d0a76aa7-1c8b-43ad-8d3e-cab1784e3364	Compagnie Territoriale (Niono)	Command	2017-10-09	N		Y
6f4b5267-e27f-46d1-89c1-1d7fa586556a	Brigade Territoriale (Nyamina)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2019-05-27	Y
9c6cdc9b-8651-4d36-8690-2f410861ddab	Brigade Territoriale (Ouélessébougou)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-09-02	N	2019-01-19	Y
93531b1a-43ff-4e55-bd53-dc089032d5a9	Brigade Territoriale (Ouenzzindougou)	Gendarmerie;Military	child	fa0acf48-67e8-49a2-9a21-23c982dd7c31	Compagnie Territoriale (Bamako Rive Gauche)	Command	2017-10-09	N	2020-03-19	Y
18ee024d-d49c-441d-91b8-3d76e262aee0	Brigade Territoriale (Pelengana)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2020-05-26	Y
